tags,notes,title,guid,imageURL,articleDate,trailerLink,rating
"Vertical Entertainment, Drama, William Fichtner, Kim Coates, Harold Perrineau, Robin Weigert, Mary Lynn Rajskub, Brad William Henke",Interesting possible ghost story?,Cold Brook: Trailer,http://www.traileraddict.com/cold-brook-2019/trailer,http://cdn.traileraddict.com/vidog/vertical-entertainment/cold-brook-2019-poster/1.jpg,2019-10-17T07:55:53.000Z,http://www.traileraddict.com/cold-brook-2019/trailer,2
"Walt Disney Pictures, Adventure, Dwayne Johnson, Emily Blunt, Ã‰dgar RamÃ­rez","Complete silly twaddle, but the kind of complete silly twaddle we need sometimes",Jungle Cruise: Trailer,http://www.traileraddict.com/jungle-cruise/trailer,http://cdn.traileraddict.com/vidog/walt-disney-pictures/jungle-cruise-poster/1.jpg,2019-10-13T00:31:13.000Z,http://www.traileraddict.com/jungle-cruise/trailer,2
"Netflix, Musical/Broadway/Play, Drama, Kerry Washington, Steven pasquale, Jeremy Jordan",Based on broadway play about son who goes missing and the policey thing afterwards,American Son: Trailer,http://www.traileraddict.com/american-son-2019/trailer,http://cdn.traileraddict.com/vidog/netflix/american-son-poster/1.jpg,2019-10-18T09:27:24.000Z,http://www.traileraddict.com/american-son-2019/trailer,1
"STX Entertainment, Crime, Comedy, Thriller, Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery, Jeremy Strong, Eddie Marson, Colin Farrell, Hugh Grant",New Guy Ritchie gangster thing with stellar cast,The Gentlemen: Trailer,http://www.traileraddict.com/the-gentlemen/trailer,http://cdn.traileraddict.com/vidog/stx-entertainment/the-gentlemen-poster/1.jpg,2019-10-02T20:40:40.000Z,http://www.traileraddict.com/the-gentlemen/trailer,2
"Universal Pictures, Book, Family, Adventure, Robert Downey, Jr., Jessie Buckley, Antonio Banderas",Only on here because of the ridiculous cast. The trailer looked awful.,Dolittle: Trailer,http://www.traileraddict.com/dolittle-2020/trailer,http://cdn.traileraddict.com/vidog/universal-pictures/dolittle-poster/1.jpg,2019-10-14T09:06:09.000Z,http://www.traileraddict.com/dolittle-2020/trailer,1
"Netflix, Comedy, Drama, Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty","On Netflix, thing about couple going through divorce.",Marriage Story: Trailer,http://www.traileraddict.com/marriage-story/trailer,http://cdn.traileraddict.com/vidog/netflix/marriage-story-poster/1.jpg,2019-10-18T09:27:24.000Z,http://www.traileraddict.com/marriage-story/trailer,1
"RLJ Entertainment, Drama, Ethan Hawke, Elaine Hendrix, Chris Sullivan",Ex-con finds an abandoned baby.,Adopt a Highway: Trailer,http://www.traileraddict.com/adopt-a-highway/trailer,http://cdn.traileraddict.com/vidog/rlj-entertainment/adopt-highway-poster/1.jpg,2019-10-18T20:52:04.000Z,http://www.traileraddict.com/adopt-a-highway/trailer,2
"Magnolia Pictures, Magnet Releasing, Sci Fi, Emily Beecham, Ben Whishaw, Kerry Fox, Kit Connor",Creepy plant thing.,Little Joe: Trailer,http://www.traileraddict.com/little-joe-2019/trailer,http://cdn.traileraddict.com/vidog/magnolia-pictures/little-joe-poster/1.jpg,2019-10-29T07:09:47.000Z,http://www.traileraddict.com/little-joe-2019/trailer,2
"20th Century Fox, Thriller, Crime, Psychological, Amy Adams, Gary Oldman, Julianne Moore, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Anthony Mackie",,The Woman in the Window: Trailer,http://www.traileraddict.com/the-woman-in-the-window-2020/trailer,http://cdn.traileraddict.com/vidog/20th-century-fox/woman-in-the-window-poster/1.jpg,2019-12-20T05:09:09.000Z,http://www.traileraddict.com/the-woman-in-the-window-2020/trailer,2
"Samuel Goldwyn Films, Drama, Rob Morgan, Amber Havard, Yolonda Ross",Bull fighting thing with a delinquent girl,Bull: Trailer,http://www.traileraddict.com/bull-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-01-26T22:41:18.000Z,http://www.traileraddict.com/bull-2020/trailer,1
"Universal Pictures, CG Animation, Animation, Comedy, Family, Steve Carell, Pierre Coffin, Taraji P. Henson, Michelle Yeoh, Alan Arkin",,Minions: The Rise of Gru: Trailer,http://www.traileraddict.com/minions-rise-of-gru/trailer,http://cdn.traileraddict.com/vidog/universal-pictures/minions-rise-gru-poster/1.jpg,2020-02-05T20:45:26.000Z,http://www.traileraddict.com/minions-rise-of-gru/trailer,3
"20th Century Fox, Comedy, Fantasy, Ryan Reynolds, Taika Waititi, Jodie Comer, Joe Keery, Lil Rel Howery",,Free Guy: Trailer,http://www.traileraddict.com/free-guy/trailer,http://cdn.traileraddict.com/vidog/20th-century-fox/free-guy-poster/1.jpg,2019-12-09T07:17:41.000Z,http://www.traileraddict.com/free-guy/trailer,1
"Sony Pictures, Comedy, Adventure, Franchise/Epic/Trilogy, Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Alex Wolff, Madison Iseman, Nick Jonas, Rhys Darby, Awkwafina, Danny DeVito, Danny Glover",,Jumanji: The Next Level: Theatrical Trailer,http://www.traileraddict.com/jumanji-next-level/theatrical-trailer,http://cdn.traileraddict.com/vidog/sony-pictures/jumanji-next-level-poster/1.jpg,2019-10-31T19:47:49.000Z,http://www.traileraddict.com/jumanji-next-level/theatrical-trailer,2
"Pixar Animation, Walt Disney Pictures, CG Animation, Adventure, Family, Comedy, Animation, Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",,Onward: Trailer,http://www.traileraddict.com/onward-2020/trailer,http://cdn.traileraddict.com/vidog/disney-pixar/onward-2020-poster/1.jpg,2019-11-26T20:16:11.000Z,http://www.traileraddict.com/onward-2020/trailer,1
"IFC Films, Drama, Richard Gere, Peter Dinklage, Walton Goggins",,Three Christs: Trailer,http://www.traileraddict.com/three-christs/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2019-11-26T20:16:11.000Z,http://www.traileraddict.com/three-christs/trailer,3
"E1 Entertainment, Drama, Zoe Kazan, Tahar Rahim, Andrea Riseborough, Bill Nighy, Caleb Landry Jones, Jay Baruchel",Bill Nighy in rom-com with good acting shock.,The Kindness of Strangers: Trailer,http://www.traileraddict.com/the-kindness-of-strangers/trailer,http://cdn.traileraddict.com/vidog/e1-entertainment/kindness-of-strangers-poster/1.jpg,2019-10-24T09:24:54.000Z,http://www.traileraddict.com/the-kindness-of-strangers/trailer,3
"Columbia Pictures, Paranormal, Comedy, Franchise/Epic/Trilogy, McKenna Grace, Finn Wolfhard, Carrie Coon, Paul Rudd",,Ghostbusters: Afterlife: Trailer,http://www.traileraddict.com/ghostbusters-sequel-2020/trailer,http://cdn.traileraddict.com/vidog/columbia-pictures/ghostbusters-afterlife-poster/1.jpg,2019-12-09T21:57:20.000Z,http://www.traileraddict.com/ghostbusters-sequel-2020/trailer,2
"Marvel Studios, Walt Disney Pictures, Action, Franchise/Epic/Trilogy, Adventure, Fantasy, Comicbook, Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",,Black Widow: Special Look Trailer,http://www.traileraddict.com/black-widow-2020/special-look-trailer,http://cdn.traileraddict.com/vidog/marvel-studios/black-widow-2020-poster/1.jpg,2020-01-14T20:10:06.000Z,http://www.traileraddict.com/black-widow-2020/special-look-trailer,2
"Metro Goldwyn Mayer (MGM), Action, Franchise/Epic/Trilogy, Adventure, Daniel Craig, Naomie Harris, Rami Malek, LÃ©a Seydoux, Ben Whishaw, Jeffrey Wright, Ana de Armas, Christoph Waltz",,No Time to Die: Trailer,http://www.traileraddict.com/no-time-to-die/trailer,http://cdn.traileraddict.com/vidog/mgm/no-time-to-die-poster/1.jpg,2019-12-04T22:10:05.000Z,http://www.traileraddict.com/no-time-to-die/trailer,3
"Focus Features, Crime, Thriller, Carey Mulligan, Laverne Cox, Bo Burnham, Alison Brie, Connie Britton, Jennifer Coolidge, Max Greenfield, Christopher Mintz-Plasse, Molly Shannon",,Promising Young Woman: Trailer,http://www.traileraddict.com/promising-young-woman/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2019-12-11T21:10:32.000Z,http://www.traileraddict.com/promising-young-woman/trailer,2
"Paramount Pictures, Franchise/Epic/Trilogy, War, Action, Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman",,Top Gun: Maverick: Theatrical Trailer,http://www.traileraddict.com/top-gun-maverick/theatrical-trailer,http://cdn.traileraddict.com/vidog/paramount-pictures/top-gun-maverick-poster/1.jpg,2019-12-16T22:19:10.000Z,http://www.traileraddict.com/top-gun-maverick/theatrical-trailer,2
"Momentum Pictures, Action, Crime, Guy Pearce, Devon Sawa",A ridiculous film with Guy Pearce in it,Disturbing the Peace: Trailer,http://www.traileraddict.com/disturbing-the-peace-2020/trailer,http://cdn.traileraddict.com/vidog/momentum-pictures/disturbing-the-peace-poster/1.jpg,2019-12-19T21:17:36.000Z,http://www.traileraddict.com/disturbing-the-peace-2020/trailer,2
-,,A Quiet Place Part II: Trailer,http://www.traileraddict.com/a-quiet-place-part-ii/trailer,http://cdn.traileraddict.com/vidog/paramount-pictures/quiet-place-part-ii-poster/1.jpg,2020-01-02T20:45:41.000Z,http://www.traileraddict.com/a-quiet-place-part-ii/trailer,3
